Wild type protonema size,,,,
0μM,5μM,10μM,50μM,100μM
1.29,1.15,1.15,0.90,0.55
1.28,1.20,1.14,0.60,0.55
1.34,1.17,0.98,0.89,0.43
1.35,1.16,0.96,0.88,0.43
,,,,
Wild type gametophore number,,,,
0μM,5μM,10μM,50μM,100μM
19,7,2,0,0
22,11,2,0,0
21,10,2,0,0
26,13,3,1,0
